,ADX
2021-04-28,5.4175
2021-04-27,5.3997
2021-04-26,5.3857
2021-04-23,5.3713
2021-04-22,5.3589
2021-04-21,5.3466
2021-04-20,5.3330
2021-04-19,5.3194
2021-04-16,5.3031
2021-04-15,5.2834
2021-04-14,5.2637
2021-04-13,5.2452
2021-04-12,5.2207
2021-04-09,5.1976
2021-04-08,5.1725
2021-04-07,5.1472
2021-04-06,5.1228
2021-04-05,5.1003
2021-04-01,5.0780
2021-03-31,5.0611
2021-03-30,5.0482
2021-03-29,5.0379
2021-03-26,5.0275
2021-03-25,5.0231
2021-03-24,5.0186
2021-03-23,5.0114
2021-03-22,4.9975
2021-03-19,4.9834
2021-03-18,4.9740
2021-03-17,4.9698
2021-03-16,4.9656
2021-03-15,4.9642
2021-03-12,4.9671
2021-03-11,4.9746
2021-03-10,4.9791
2021-03-09,4.9901
2021-03-08,5.0015
2021-03-05,5.0151
2021-03-04,5.0283
2021-03-03,5.0416
2021-03-02,5.0590
2021-03-01,5.0737
2021-02-26,5.0886
2021-02-25,5.1044
2021-02-24,5.1202
2021-02-23,5.1329
2021-02-22,5.1456
2021-02-19,5.1615
2021-02-18,5.1755
2021-02-17,5.1852
2021-02-16,5.1922
2021-02-12,5.1989
2021-02-11,5.2095
2021-02-10,5.2200
2021-02-09,5.2306
2021-02-08,5.2415
2021-02-05,5.2549
2021-02-04,5.2689
2021-02-03,5.2837
2021-02-02,5.2985
2021-02-01,5.3137
2021-01-29,5.3322
2021-01-28,5.3508
2021-01-27,5.3623
2021-01-26,5.3713
2021-01-25,5.3732
2021-01-22,5.3786
2021-01-21,5.3853
2021-01-20,5.3953
2021-01-19,5.4078
2021-01-15,5.4260
2021-01-14,5.4503
2021-01-13,5.4747
2021-01-12,5.4959
2021-01-11,5.5164
2021-01-08,5.5328
2021-01-07,5.5439
2021-01-06,5.5537
2021-01-05,5.5664
2021-01-04,5.5729
2020-12-31,5.5794
2020-12-30,5.5824
2020-12-29,5.5839
2020-12-28,5.5820
2020-12-24,5.5822
2020-12-23,5.5873
2020-12-22,5.5923
2020-12-21,5.5979
2020-12-18,5.6010
2020-12-17,5.6016
2020-12-16,5.6003
2020-12-15,5.6008
2020-12-14,5.6025
2020-12-11,5.6010
2020-12-10,5.6001
2020-12-09,5.5979
2020-12-08,5.5957
2020-12-07,5.5859
2020-12-04,5.5761
2020-12-03,5.5696
2020-12-02,5.5617
2020-12-01,5.5538
2020-11-30,5.5475
2020-11-27,5.5490
2020-11-25,5.5476
2020-11-24,5.5462
2020-11-23,5.5464
2020-11-20,5.5514
2020-11-19,5.5526
2020-11-18,5.5538
2020-11-17,5.5530
2020-11-16,5.5512
2020-11-13,5.5482
2020-11-12,5.5464
2020-11-11,5.5436
2020-11-10,5.5416
2020-11-09,5.5426
2020-11-06,5.5325
2020-11-05,5.5149
2020-11-04,5.4965
2020-11-03,5.4836
2020-11-02,5.4836
2020-10-30,5.4837
2020-10-29,5.4824
2020-10-28,5.4693
2020-10-27,5.4595
2020-10-26,5.4422
2020-10-23,5.4248
2020-10-22,5.4052
2020-10-21,5.3875
2020-10-20,5.3685
2020-10-19,5.3588
2020-10-16,5.3499
2020-10-15,5.3364
2020-10-14,5.3245
2020-10-13,5.3061
2020-10-12,5.2859
2020-10-09,5.2657
2020-10-08,5.2563
2020-10-07,5.2469
2020-10-06,5.2408
2020-10-05,5.2317
2020-10-02,5.2205
2020-10-01,5.2092
2020-09-30,5.1931
2020-09-29,5.1785
2020-09-28,5.1658
2020-09-25,5.1558
2020-09-24,5.1485
2020-09-23,5.1437
2020-09-22,5.1368
2020-09-21,5.1318
2020-09-18,5.1307
2020-09-17,5.1247
2020-09-16,5.1186
2020-09-15,5.1027
2020-09-14,5.0802
2020-09-11,5.0576
2020-09-10,5.0387
2020-09-09,5.0159
2020-09-08,4.9891
2020-09-04,4.9623
2020-09-03,4.9338
2020-09-02,4.8941
2020-09-01,4.8455
2020-08-31,4.7982
2020-08-28,4.7538
2020-08-27,4.7092
2020-08-26,4.6634
2020-08-25,4.6174
2020-08-24,4.5865
2020-08-21,4.5598
2020-08-20,4.5381
2020-08-19,4.5169
2020-08-18,4.4968
2020-08-17,4.4788
2020-08-14,4.4615
2020-08-13,4.4452
2020-08-12,4.4281
2020-08-11,4.4118
2020-08-10,4.3954
2020-08-07,4.3749
2020-08-06,4.3510
2020-08-05,4.3363
2020-08-04,4.3327
2020-08-03,4.3291
2020-07-31,4.3229
2020-07-30,4.3167
2020-07-29,4.3276
2020-07-28,4.3374
2020-07-27,4.3472
2020-07-24,4.3562
2020-07-23,4.3664
2020-07-22,4.3725
2020-07-21,4.3729
2020-07-20,4.3716
2020-07-17,4.3710
