,1. open,2. high,3. low,4. close,5. volume
2010-01-25,684.7758,684.7758,684.7758,684.7758,10
2010-01-22,684.7758,684.7758,684.7758,684.7758,0
2010-01-21,684.7758,684.7758,684.7758,684.7758,10
2010-01-20,684.7758,684.7758,684.7758,684.7758,10
2010-01-19,684.7758,684.7758,684.7758,684.7758,0
2010-01-15,684.7758,684.7758,684.7758,684.7758,15
2010-01-14,684.7758,684.7758,684.7758,684.7758,10
2010-01-13,684.7758,684.7758,684.7758,684.7758,510
2010-01-12,684.7758,684.7758,684.7758,684.7758,30
2010-01-11,684.7758,684.7758,684.7758,684.7758,30
2010-01-08,684.7758,684.7758,684.7758,684.7758,20
2010-01-07,684.7758,684.7758,684.7758,684.7758,0
2010-01-06,684.7758,684.7758,684.7758,684.7758,400
2010-01-05,684.7758,684.7758,684.7758,684.7758,15
2010-01-04,684.7758,684.7758,684.7758,684.7758,0
2009-12-31,684.7758,684.7758,684.7758,684.7758,0
2009-12-30,684.7758,684.7758,684.7758,684.7758,225
2009-12-29,684.7758,684.7758,684.7758,684.7758,0
2009-12-28,684.7758,684.7758,684.7758,684.7758,0
2009-12-24,684.7758,684.7758,684.7758,684.7758,0
2009-12-23,684.7758,684.7758,684.7758,684.7758,0
2009-12-22,684.7758,684.7758,684.7758,684.7758,20
2009-12-21,684.7758,684.7758,684.7758,684.7758,0
2009-12-18,684.7758,684.7758,684.7758,684.7758,0
2009-12-17,684.7758,684.7758,684.7758,684.7758,25
2009-12-16,684.7758,684.7758,684.7758,684.7758,0
2009-12-15,684.7758,684.7758,684.7758,684.7758,12
2009-12-14,684.7758,684.7758,684.7758,684.7758,0
2009-12-11,684.7758,684.7758,684.7758,684.7758,0
2009-12-10,684.7758,684.7758,684.7758,684.7758,0
2009-12-09,684.7758,684.7758,684.7758,684.7758,0
2009-12-08,684.7758,684.7758,684.7758,684.7758,0
2009-12-07,684.7758,684.7758,684.7758,684.7758,0
2009-12-04,684.7758,684.7758,684.7758,684.7758,1
2009-12-03,684.7758,684.7758,684.7758,684.7758,20
2009-12-02,684.7758,684.7758,684.7758,684.7758,0
2009-12-01,684.7758,684.7758,684.7758,684.7758,0
2009-11-30,684.7758,684.7758,684.7758,684.7758,0
2009-11-27,684.7758,684.7758,684.7758,684.7758,0
2009-11-25,684.7758,684.7758,684.7758,684.7758,0
2009-11-24,684.7758,684.7758,684.7758,684.7758,0
2009-11-23,684.7758,684.7758,684.7758,684.7758,0
2009-11-20,684.7758,684.7758,684.7758,684.7758,0
2009-11-19,684.7758,684.7758,684.7758,684.7758,113
2009-11-18,684.7758,684.7758,684.7758,684.7758,0
