,ADX
2022-02-25,5.6236
2022-02-24,5.6199
2022-02-23,5.6131
2022-02-22,5.6124
2022-02-18,5.6165
2022-02-17,5.6235
2022-02-16,5.6351
2022-02-15,5.6448
2022-02-14,5.6533
2022-02-11,5.6619
2022-02-10,5.6719
2022-02-09,5.6882
2022-02-08,5.7079
2022-02-07,5.7248
2022-02-04,5.7441
2022-02-03,5.7615
2022-02-02,5.7554
2022-02-01,5.7629
2022-01-31,5.7655
2022-01-28,5.7662
2022-01-27,5.7574
2022-01-26,5.7504
2022-01-25,5.7433
2022-01-24,5.7338
2022-01-21,5.7243
2022-01-20,5.7236
2022-01-19,5.7354
2022-01-18,5.7542
2022-01-14,5.7752
2022-01-13,5.7993
2022-01-12,5.8254
2022-01-11,5.8528
2022-01-10,5.8812
2022-01-07,5.9049
2022-01-06,5.9320
2022-01-05,5.9599
2022-01-04,5.9844
2022-01-03,6.0059
2021-12-31,6.0286
2021-12-30,6.0534
2021-12-29,6.0753
2021-12-28,6.0973
2021-12-27,6.1185
2021-12-23,6.1398
2021-12-22,6.1625
2021-12-21,6.1854
2021-12-20,6.2103
2021-12-17,6.2393
2021-12-16,6.2685
2021-12-15,6.2942
2021-12-14,6.3208
2021-12-13,6.3517
2021-12-10,6.3805
2021-12-09,6.4075
2021-12-08,6.4293
2021-12-07,6.4502
2021-12-06,6.4712
2021-12-03,6.4978
2021-12-02,6.5248
2021-12-01,6.5456
2021-11-30,6.5652
2021-11-29,6.5811
2021-11-26,6.5941
2021-11-24,6.6071
2021-11-23,6.6177
2021-11-22,6.6284
2021-11-19,6.6361
2021-11-18,6.6354
2021-11-17,6.6388
2021-11-16,6.6503
2021-11-15,6.6627
2021-11-12,6.6752
2021-11-11,6.6914
2021-11-10,6.7062
2021-11-09,6.7210
2021-11-08,6.7330
2021-11-05,6.7461
2021-11-04,6.7602
2021-11-03,6.7791
2021-11-02,6.8056
2021-11-01,6.8370
2021-10-29,6.8678
2021-10-28,6.8989
2021-10-27,6.9217
2021-10-26,6.9476
2021-10-25,6.9752
2021-10-22,7.0080
2021-10-21,7.0385
2021-10-20,7.0636
2021-10-19,7.0888
2021-10-18,7.1125
2021-10-15,7.1367
2021-10-14,7.1639
2021-10-13,7.1985
2021-10-12,7.2343
2021-10-11,7.2686
2021-10-08,7.3032
2021-10-07,7.3381
2021-10-06,7.3731
2021-10-05,7.4074
2021-10-04,7.4422
2021-10-01,7.4771
2021-09-30,7.5112
2021-09-29,7.5440
2021-09-28,7.5752
2021-09-27,7.6066
2021-09-24,7.6344
2021-09-23,7.6582
2021-09-22,7.6822
2021-09-21,7.7092
2021-09-20,7.7369
2021-09-17,7.7649
2021-09-16,7.7816
2021-09-15,7.7988
2021-09-14,7.8166
2021-09-13,7.8317
2021-09-10,7.8468
2021-09-09,7.8601
2021-09-08,7.8721
2021-09-07,7.8830
2021-09-03,7.8951
2021-09-02,7.9105
2021-09-01,7.9245
2021-08-31,7.9370
2021-08-30,7.9534
2021-08-27,7.9718
2021-08-26,7.9968
2021-08-25,8.0235
2021-08-24,8.0510
2021-08-23,8.0791
2021-08-20,8.1098
2021-08-19,8.1460
2021-08-18,8.1818
2021-08-17,8.2166
2021-08-16,8.2496
2021-08-13,8.2827
2021-08-12,8.3107
2021-08-11,8.3388
2021-08-10,8.3665
2021-08-09,8.3915
2021-08-06,8.4156
2021-08-05,8.4398
2021-08-04,8.4632
2021-08-03,8.4864
2021-08-02,8.5097
2021-07-30,8.5354
2021-07-29,8.5611
2021-07-28,8.5663
2021-07-27,8.5699
2021-07-26,8.5735
2021-07-23,8.5723
2021-07-22,8.5742
2021-07-21,8.5778
2021-07-20,8.5851
2021-07-19,8.5924
2021-07-16,8.6025
2021-07-15,8.6072
2021-07-14,8.6078
2021-07-13,8.6053
2021-07-12,8.6019
2021-07-09,8.5965
2021-07-08,8.5917
2021-07-07,8.5868
2021-07-06,8.5773
2021-07-02,8.5709
2021-07-01,8.5762
2021-06-30,8.5853
2021-06-29,8.5924
2021-06-28,8.6006
2021-06-25,8.6094
2021-06-24,8.6182
2021-06-23,8.6242
2021-06-22,8.6261
2021-06-21,8.6280
2021-06-18,8.6327
2021-06-17,8.6342
2021-06-16,8.6365
2021-06-15,8.6435
2021-06-14,8.6527
2021-06-11,8.6626
2021-06-10,8.6739
2021-06-09,8.6864
2021-06-08,8.7025
2021-06-07,8.7200
2021-06-04,8.7426
2021-06-03,8.7632
2021-06-02,8.7845
2021-06-01,8.8040
2021-05-28,8.8235
2021-05-27,8.8423
2021-05-26,8.8604
2021-05-25,8.8764
2021-05-24,8.8936
2021-05-21,8.9123
2021-05-20,8.9313
2021-05-19,8.9474
2021-05-18,8.9652
2021-05-17,8.9796
2021-05-14,8.9954
2021-05-13,9.0156
2021-05-12,9.0377
2021-05-11,9.0598
2021-05-10,9.0820
2021-05-07,9.0996
2021-05-06,9.1099
2021-05-05,9.1213
2021-05-04,9.1314
2021-05-03,9.1410
2021-04-30,9.1429
2021-04-29,9.1377
2021-04-28,9.1350
2021-04-27,9.1340
2021-04-26,9.1349
2021-04-23,9.1379
2021-04-22,9.1445
2021-04-21,9.1512
2021-04-20,9.1586
2021-04-19,9.1651
2021-04-16,9.1683
2021-04-15,9.1733
2021-04-14,9.1791
2021-04-13,9.1848
2021-04-12,9.1852
2021-04-09,9.1881
2021-04-08,9.1924
2021-04-07,9.1999
2021-04-06,9.2087
2021-04-05,9.2214
2021-04-01,9.2349
2021-03-31,9.2533
2021-03-30,9.2748
2021-03-29,9.2995
2021-03-26,9.3244
2021-03-25,9.3518
2021-03-24,9.3762
2021-03-23,9.3972
2021-03-22,9.4156
2021-03-19,9.4378
2021-03-18,9.4635
2021-03-17,9.4887
2021-03-16,9.5107
2021-03-15,9.5357
2021-03-12,9.5642
2021-03-11,9.5917
2021-03-10,9.6166
2021-03-09,9.6427
2021-03-08,9.6706
2021-03-05,9.7005
2021-03-04,9.7344
2021-03-03,9.7636
2021-03-02,9.7893
2021-03-01,9.8082
2021-02-26,9.8280
2021-02-25,9.8498
2021-02-24,9.8709
2021-02-23,9.8861
2021-02-22,9.9014
2021-02-19,9.9107
2021-02-18,9.9142
2021-02-17,9.9155
2021-02-16,9.9179
2021-02-12,9.9212
2021-02-11,9.9263
2021-02-10,9.9302
2021-02-09,9.9338
2021-02-08,9.9339
2021-02-05,9.9335
2021-02-04,9.9331
2021-02-03,9.9346
2021-02-02,9.9337
2021-02-01,9.9287
2021-01-29,9.9286
2021-01-28,9.9360
2021-01-27,9.9399
2021-01-26,9.9438
2021-01-25,9.9417
2021-01-22,9.9396
2021-01-21,9.9402
2021-01-20,9.9403
2021-01-19,9.9449
2021-01-15,9.9586
2021-01-14,9.9725
2021-01-13,9.9845
